,FechaHora,Slope,,,
509,44463.04861,0,0,,
510,44463.05556,0,0,,
511,44463.0625,1,0,,
512,44463.06944,0,0,,
513,44463.07639,0,0,,
514,44463.08333,0,0,,
515,44463.09028,-1,0,,
516,44463.09722,-2,0,,
517,44463.10417,-2,0,,
518,44463.11111,-1,0,,
519,44463.11806,-1,0,,
520,44463.125,-1,0,,
521,44463.13194,-1,0,,
522,44463.13889,0,0,,
523,44463.14583,0,0,,
524,44463.15278,0,0,,
525,44463.15972,-1,0,,
526,44463.16667,-1,0,,
527,44463.17361,0,0,,
528,44463.18056,0,0,,
529,44463.1875,-1,0,,
530,44463.19444,-1,0,,
531,44463.20139,0,0,,
532,44463.20833,-1,0,,
533,44463.21528,1,0,,
534,44463.22222,1,0,,
535,44463.22917,0,0,,
536,44463.23611,1,0,,
537,44463.24306,1,0,,
538,44463.25,1,0,,
539,44463.25694,1,0,,
540,44463.26389,1,0,,
541,44463.27083,1,0,,
542,44463.27778,0,0,,
543,44463.28472,1,0,,
544,44463.29167,-1,pos,,
545,44463.29861,0,0,,
546,44463.30556,1,0,,
547,44463.3125,0,0,,
548,44463.31944,1,0,,
549,44463.32639,0,0,,
550,44463.33333,-1,0,,
551,44463.34028,0,0,,
552,44463.34722,0,0,,
553,44463.35417,-1,0,,
554,44463.36111,0,0,,
555,44463.36806,-1,0,,
556,44463.375,-1,0,,
557,44463.38194,-2,0,,
558,44463.38889,-3,0,,
559,44463.39583,-3,0,,
560,44463.40278,-2,0,,
561,44463.40972,-2,0,,
562,44463.41667,-1,0,,
563,44463.42361,-1,0,,
564,44463.43056,1,0,,
565,44463.4375,0,0,,
566,44463.44444,2,0,,
567,44463.45139,1,0,,
568,44463.45833,0,0,,
569,44463.46528,0,0,,
570,44463.47222,1,0,,
571,44463.47917,-1,pos,,
572,44463.48611,-1,0,,
573,44463.49306,-1,0,,
574,44463.5,-1,0,,
575,44463.50694,-1,0,,
576,44463.51389,-2,0,,
577,44463.52083,3,0,,
578,44463.52778,4,0,,
579,44463.53472,3,0,,
580,44463.54167,2,0,,
581,44463.54861,0,0,,
582,44463.55556,-5,0,,
583,44463.5625,0,0,,
584,44463.56944,0,0,,
585,44463.57639,0,0,,
586,44463.58333,-1,0,,
587,44463.59028,-1,0,,
588,44463.59722,-1,0,,
589,44463.60417,-1,0,,
590,44463.61111,0,0,,
591,44463.61806,-1,0,,
592,44463.625,3,0,,
593,44463.63194,5,0,,
594,44463.63889,2,0,,
595,44463.64583,2,0,,
596,44463.65278,3,0,,
597,44463.65972,1,0,,
598,44463.66667,0,0,,
599,44463.67361,2,0,,
600,44463.68056,1,0,,
601,44463.6875,0,0,,
602,44463.69444,-1,0,,
603,44463.70139,-3,0,,
604,44463.70833,-1,0,,
605,44463.71528,-2,0,,
606,44463.72222,-1,0,,
607,44463.72917,0,0,,
608,44463.73611,0,0,,
609,44463.74306,0,0,,
610,44463.75,0,0,,
611,44463.75694,0,0,,
612,44463.76389,0,0,,
613,44463.77083,-2,0,,
614,44463.77778,0,0,,
615,44463.78472,0,0,,
616,44463.79167,0,0,,
617,44463.79861,2,0,,
618,44463.80556,2,0,,
619,44463.8125,1,0,,
620,44463.81944,0,0,,
621,44463.82639,0,0,,
622,44463.83333,-1,0,,
623,44463.84028,1,0,,
624,44463.84722,0,0,,
625,44463.85417,1,0,,
626,44463.86111,1,0,,
627,44463.86806,1,0,,
628,44463.875,0,0,,
629,44463.88194,0,0,,
630,44463.88889,0,0,,
631,44463.89583,0,0,,
632,44463.90278,0,0,,
633,44463.90972,-1,0,,
634,44463.91667,0,0,,
635,44463.92361,0,0,,
636,44463.93056,0,0,,
637,44463.9375,0,0,,
638,44463.94444,0,0,,
639,44463.95139,-2,0,,
640,44463.95833,-2,0,,
641,44463.96528,-3,0,,
642,44463.97222,-6,0,,
643,44463.97917,-4,0,,
644,44463.98611,-4,0,,
645,44463.99306,-4,0,,
646,44464,-4,0,,
647,44464.00694,-4,0,,
648,44464.01389,-4,0,,
649,44464.02083,-4,0,,
650,44464.02778,-1,0,,
651,44464.03472,-2,0,,
652,44464.04167,-2,0,,
653,44464.04861,-1,0,,
654,44464.05556,-1,0,,
655,44464.0625,-2,0,,
656,44464.06944,-1,0,,
657,44464.07639,0,0,,
658,44464.08333,1,0,,
659,44464.09028,0,0,,
660,44464.09722,1,0,,
661,44464.10417,0,0,,
662,44464.11111,0,0,,
663,44464.11806,0,0,,
664,44464.125,0,0,,
665,44464.13194,1,0,,
666,44464.13889,0,0,,
667,44464.14583,0,0,,
668,44464.15278,-1,0,,
669,44464.15972,-2,0,,
670,44464.16667,-1,0,,
671,44464.17361,-2,0,,
672,44464.18056,-1,0,,
673,44464.1875,-1,0,,
674,44464.19444,0,0,,
675,44464.20139,1,0,,
676,44464.20833,-1,pos,,
677,44464.21528,-1,0,,
678,44464.22222,-8,0,,
679,44464.22917,-1,0,,
680,44464.23611,0,0,,
681,44464.24306,-1,0,,
682,44464.25,1,0,,
683,44464.25694,1,0,,
684,44464.26389,1,0,,
685,44464.27083,1,0,,
686,44464.27778,1,0,,
687,44464.28472,0,0,,
688,44464.29167,3,0,,
689,44464.29861,2,0,,
690,44464.30556,3,0,,
691,44464.3125,4,0,,
692,44464.31944,5,0,,
693,44464.32639,6,0,,
694,44464.33333,6,0,,
695,44464.34028,6,0,,
696,44464.34722,7,0,,
697,44464.35417,6,0,,
698,44464.36111,7,0,,
699,44464.36806,3,0,,
700,44464.375,2,0,,
701,44464.38194,1,0,,
702,44464.38889,1,0,,
703,44464.39583,1,0,,
704,44464.40278,2,0,,
705,44464.40972,1,0,,
706,44464.41667,1,0,,
707,44464.42361,0,0,,
